date,median,95_ci,05_ci,param,age_group,num_diseased
2020-03-10,1.059581724478405,1.0626964756722694,1.0564184023409398,contact_rate,50-59,1651.0
2020-03-11,1.0596102604340691,1.0629427356674235,1.0563847481506583,contact_rate,50-59,1651.0
2020-03-12,1.0596451000970597,1.0631884682200383,1.056175615977784,contact_rate,50-59,1651.0
2020-03-13,1.0596823025028432,1.0631960495865629,1.0561762540450341,contact_rate,50-59,1651.0
2020-03-14,1.0597717219311311,1.063656970104166,1.0560875586453589,contact_rate,50-59,1651.0
2020-03-15,1.0597996497255284,1.0638051942417894,1.0559090093580572,contact_rate,50-59,1651.0
2020-03-16,1.059873186566886,1.0640328683198983,1.0556559666862462,contact_rate,50-59,1651.0
2020-03-17,1.059994141580476,1.064031106279896,1.0555897173924007,contact_rate,50-59,1651.0
2020-03-18,1.0602698186563568,1.0643811004114185,1.0555626895799184,contact_rate,50-59,1651.0
2020-03-19,1.0601509142009045,1.064612682711754,1.055318863889173,contact_rate,50-59,1651.0
2020-03-20,1.0601601543247128,1.0647144385663927,1.0556231500816564,contact_rate,50-59,1651.0
2020-03-21,1.0598275463479299,1.064330826958964,1.0551475204646859,contact_rate,50-59,1651.0
2020-03-22,1.059815274439225,1.0641894892324009,1.0547923029839843,contact_rate,50-59,1651.0
2020-03-23,1.060168058357132,1.0649467233510828,1.0551952345800204,contact_rate,50-59,1651.0
2020-03-24,1.0605398893490174,1.065433273695943,1.0556664691599769,contact_rate,50-59,1651.0
2020-03-25,1.0604030990241415,1.06550971684637,1.0551482769799887,contact_rate,50-59,1651.0
2020-03-26,1.06007692782911,1.065616593475344,1.0547983291914689,contact_rate,50-59,1651.0
2020-03-27,1.0603346177653752,1.065630032966185,1.054837769642693,contact_rate,50-59,1651.0
2020-03-28,1.0605862612668662,1.0661024256861278,1.0550019405577276,contact_rate,50-59,1651.0
2020-03-29,1.059997201007882,1.0652769768395633,1.054397260562296,contact_rate,50-59,1651.0
2020-03-30,1.0600378036724498,1.0656023899233014,1.0543977332886525,contact_rate,50-59,1651.0
2020-03-31,1.0592483106828987,1.0646240126484852,1.053474386642808,contact_rate,50-59,1651.0
2020-04-01,1.0590487784406557,1.0643994453161125,1.0530442546179521,contact_rate,50-59,1651.0
2020-04-02,1.0585358814411903,1.06393423069561,1.0524080026628406,contact_rate,50-59,1651.0
2020-04-03,1.057144752751622,1.062560035019635,1.050928444144961,contact_rate,50-59,1651.0
2020-04-04,1.0569778058908708,1.0627733518925513,1.050634159049529,contact_rate,50-59,1651.0
2020-04-05,1.0554714599412045,1.0612939513194593,1.0493557465364858,contact_rate,50-59,1651.0
2020-04-06,1.0550716542435215,1.0609190652723999,1.0486549598749648,contact_rate,50-59,1651.0
2020-04-07,1.054578939114144,1.0602697022732184,1.0482309491111645,contact_rate,50-59,1651.0
2020-04-08,1.0543434099520967,1.0600573666753967,1.0479134744008467,contact_rate,50-59,1651.0
2020-04-09,1.052733263482335,1.0589828318887555,1.0462510829268035,contact_rate,50-59,1651.0
2020-04-10,1.0520972074043995,1.0583557456197434,1.0455658827943437,contact_rate,50-59,1651.0
2020-04-11,1.0510142767975479,1.0575862519753096,1.0445270316086326,contact_rate,50-59,1651.0
2020-04-12,1.0498809062360093,1.0567117207532162,1.0434954793664775,contact_rate,50-59,1651.0
2020-04-13,1.0492610915021248,1.0561334533978501,1.0426296616712107,contact_rate,50-59,1651.0
2020-04-14,1.0486377569442755,1.0553735918754052,1.0422701756355761,contact_rate,50-59,1651.0
2020-04-15,1.0479550728355544,1.0549451602859325,1.0418414675569991,contact_rate,50-59,1651.0
2020-04-16,1.047392488806115,1.0545276798945986,1.041643274400518,contact_rate,50-59,1651.0
2020-04-17,1.047075587794486,1.0545210219336683,1.0413362810086144,contact_rate,50-59,1651.0
2020-04-18,1.0470657477195242,1.0547725576969513,1.0411167005593052,contact_rate,50-59,1651.0
2020-04-19,1.0473609581842682,1.0543741166827596,1.04127190452734,contact_rate,50-59,1651.0
2020-04-20,1.047531603061493,1.0552281089328277,1.0412449075907801,contact_rate,50-59,1651.0
2020-04-21,1.0472953181647462,1.0547714000655095,1.040979447759856,contact_rate,50-59,1651.0
2020-04-22,1.0474399148240527,1.054805944445146,1.0412699580710547,contact_rate,50-59,1651.0
2020-04-23,1.046930349876583,1.054789814319036,1.0406335207574064,contact_rate,50-59,1651.0
2020-04-24,1.048609383512333,1.0563280927473482,1.0421430317010743,contact_rate,50-59,1651.0
2020-04-25,1.0483965769234036,1.0565859948038505,1.0418633760403668,contact_rate,50-59,1651.0
2020-04-26,1.048555901836531,1.0563672094448033,1.0418673987758171,contact_rate,50-59,1651.0
2020-04-27,1.0487555933378767,1.0567888091674826,1.0420507684919544,contact_rate,50-59,1651.0
2020-04-28,1.048711385512358,1.0568030518446756,1.04186955018874,contact_rate,50-59,1651.0
2020-04-29,1.0490265689079061,1.056676079024653,1.0416935636929334,contact_rate,50-59,1651.0
2020-04-30,1.0493001455713757,1.0574396651051243,1.0419258897415524,contact_rate,50-59,1651.0
2020-05-01,1.0494438326216344,1.0570433259967704,1.041887246864027,contact_rate,50-59,1651.0
